题目,朝代,作者,内容
读史,近现代末当代初,徐震堮,求田萧相犹难免，辟谷留侯仅得容。终始武乡无惑志，方知先主是真龙。
读史 其一,近现代末当代初,徐震堮,射虎南山一老兵，封侯何事羡韩彭？将军若遇高皇帝，未必能逃五鼎烹。
丙辰纪事 其一,近现代末当代初,徐震堮,太息山陵未掩藏，孰知魑魅在萧墙。新声竞奏《桑条曲》，神柄潜归偃月堂。何止蛟龙愁失水，却教狐鼠极跳梁。诸公不定安邦计，涂炭苍生恐未央。
丙辰纪事 其二,近现代末当代初,徐震堮,迅扫欃枪得未曾，喜看寰宇复清澄。天行威令风雷动，地泱阳和草木欣。休讶六军齐左袒，只缘四海盼中兴。纤儿枉作拿云梦。千丈冰山一夕崩。
长风公园湖上偶坐,近现代末当代初,徐震堮,十亩平湖镜面宽，绕湖树影绿团团。偶携书即占阴坐，新作亭宜隔水看。应物无心多忘事，营身无术只偷安。一丘一壑徒虚愿，剩把闲情托岁寒。
忆旧游 台城秋柳,近现代末当代初,徐震堮,问绿阴旧梦，弱絮前生，几度芳菲。寂寞台城下，伴江蓠岸芷，相对依依。泪凝往时眉妩，愁影落青溪。纵千种风情，水边沙外，几度斜晖。乌啼白门路，剩草没宫墙，尘锁朱扉。为舞春风久，叹哀蝉曲破，憔悴罗衣。旧衾漫思铜辇，幽恨化云归。但冷月荒波，年年故国秋雁飞。
锁窗寒,近现代末当代初,徐震堮,远浦沉蓝，横云翳碧，莽然平楚。南飞倦影，断续怕将书误。溯寥天，劲风送秋，暮阑倚笛临江渚。但冷云万叠，沉沉江水，夕阳无语。羁旅。田愁绪。便闭了重门，避愁无处。楼孤地迥，梦到穿针庭宇。奈酒醒罗袂自寒，暗帘又锁高馆雨。待缄情寄与沧波，日夜东流去。
霜叶飞 谒明陵用梦窗韵,近现代末当代初,徐震堮,帝京遗绪空山里，萧萧风起陵树。庙门杯酒酹沧桑，天半神灵雨。但寂寞金支翠羽，荒祠谁拜衣冠古。望淡日觚棱，剩拂拭残碑藓字，托情豪素。因念画壁前朝，朱轮贵里，故国兴废谁赋。女萝山鬼冷秋坟，付与残僧语。算独客牢愁万缕，疲驴归趁斜阳去。背暮山、重回望，殿阁微茫，乱云深处。
临江仙,近现代末当代初,徐震堮,镇日情怀如中酒，依依绕砌闲行。忽随胡蝶到中庭。夕阳红薄，花影不分明。长记那回高阁上，倚栏同看双星。如今相望隔重城。绮窗朱户，留月照银屏。
高阳台,近现代末当代初,徐震堮,泪印书鸦，尘惊筝雁，赚人终是年年。吹絮帘阴，东风摇梦成烟。柳丝系得斜阳住，甚亭台换了啼鹃。又无端，旧事零星，都到尊前。如今暗雨衰灯外，但飘零酒盏，掩抑朱弦。海思云愁，不堪料量吟笺。红楼咫尺关情地，寄瑶华、枉托芝田。太凄凉，燕语黄昏，第几阑边。
兰陵王 春暮述怀示宛春,近现代末当代初,徐震堮,过寒食。帘外东风晚急。扶愁起、留眼看春，无奈出光去如掷。天涯况是客。凄抑。吴船夜笛。凭阑处、商女后庭，烟影离离旧淮碧。江关赋萧瑟。更水面飘歌，灯外欹帻。沧波一梦头堪白，伤十载书剑，异乡风雨，江花江草弄怨色。甚天上消息。岑寂。翠尊侧。叹鬓怯繁枝，诗冷瑶席。斜阳独立青芜国。九竹院孤枕，石林双屐。相思何许，问燕子，倘记得。
木兰花慢,近现代末当代初,徐震堮,听荒城雾角，正千里、阵云遮。问满地江湖，连天烽火，何处京华。惊沙。回旋大野，算十年、开遍战场花。多少锦衣绣?，谁吟杜老兵车。交加。风雪绕夭斜。肠断后栖鸦。叹汉月何年，青山一发，残泪飘笳。天涯。旧人尚在，恐江南、燕子已无家。回首冷云江上，愁闻商女琵琶。
三姝媚 十二月八日宵发梅城,近现代末当代初,徐震堮,扁舟归梦短。正空山烟平，暮江潮满。悄倚霜尊，拂敝裘茸帽，酒怀零乱。月冷千鬟，留汝伴、荒江春远。照眼沧波，听水听风，算今都惯。支枕寒宵刚半。觉露气穿窗，布衾慵暖。自起推篷，指万峰高下，帆随泷转。俯仰岚光，应笑我吟湘人倦。剩欲狂歌铜斗，深杯自劝。
曲玉管 与宛春别半岁矣，一旦把晤，喜欢无量。去后作此寄之，并示微昭，抚时感事，不觉言之骚屑也,近现代末当代初,徐震堮,冻草荒阑，拳鸦曲苑，东风几日吹尘鬓。一笑空堂欹帻，箫鼓春城，暂愁醒。眼底论交，尊前说梦，探芳岁月吟边冷。别后清淮风月，官柳江亭，向人青。话雨灯床，共当日题襟俦侣，只今苦恨情多，惟馀秀句飘零。感平生。况庾郎愁赋，目断江南千里，萧萧旗影。草草辛盘，鹤唳心惊。
六幺令 书宛春扇,近现代末当代初,徐震堮,市桥灯飐，共醉他乡夕。沉沉绕楼风雨，摇暝烟丝碧。赢得春寒压鬓，江上暮潮急。酒杯荒涩，苍茫俯仰，海水枯桑并弦泣。莫道相看年少，早是风尘客。感慨花近高楼，愁眼惊春入。付与绿窗勘梦，掩抑红牙拍。故人应识，黏朱贴翠，总是关河乱离色。
念奴娇 同蜚云、微昭、宛春游烟雨楼,近现代末当代初,徐震堮,棹歌声里，算年年、闲却湖山尊俎。冰簟疏帘觞咏地，一镜香红迟暮。卧柳侵桥，凉波没桨，楼外阴阴树。酒边吟望，旧盟应有鸥鹭。坐久韵落歌蝉，茶烟鬓影，梦入芙蓉浦。但恐画塘秋讯早，叶叶暝云吹雨。竹阁诗声，灯床禅味，谁唱旗亭句。题襟人散，后时风月尘土。
秋霁,近现代末当代初,徐震堮,烟冷吴皋，甚一夜西风，岸柳五色。草阁云平，雁帘花暝，怒潮到门犹力。故园暂息，半庭日下梧揪碧。感旧国，谁省侧身天地杜陵客。芳树徙燕，旧幕巢鸟，短歌长谣，无限凄寂。叹如今、秋衾索梦，空廊听雨恍头白。江阻水深行不得。目断天外，遥念杳杳旌旗，暮烽山县，乱笳霜驿。
醉翁操,近现代末当代初,徐震堮,参差。谁思。佳期。折江蓠。将遗。东南始霜微波违。美人翩独来迟。生别离。瑶瑟怨芳时。苦忆君，恨君未知。素鸾欲下，恍惚生疑。碧云桂水，多事朝朝锦机。江有枫兮愁漪。媵寸鳞兮何辞。相思斑竹枝。霜风吹罗衣。归去梦犀帷。玉楼筝冷无雁飞。
绮寮怨 悼宛扬,近现代末当代初,徐震堮,莫问华堂双燕，旧巢风雨声。记那日、细草春场，丝鞭袅、买醉旗亭。相看征衫未脱，荒途里、倦客眼谁青。甚别来、淡月空梁，人何在，败壁蛛网盈。望远乍回雁程。招魂漫唱，那堪梦断瑶京。水驿霜灯，有邻笛，倚愁听。芳洲易生兰杜，试采撷、若为情。花飞故城，东风醒醉地，无泪零。
烛影摇红 甲子除夕，时避地平湖，用梦窗元夕微雨韵,近现代末当代初,徐震堮,红烛他乡，画屏先逗春痕浅。围炉博簺夜如年，语笑谁家院。此际乡情更暖。数归期、檐梅摘遍。灯昏酒酢，乌帽尘侵，黄甘香溅。虬箭声中，霜笳不敌琼箫怨。一街细雨湿香泥，寂寞何人见。阑外痴云未散。梦天涯、东风近远。明朝倘有，海角春来，珠帘齐卷。
西子妆,近现代末当代初,徐震堮,愁里笛声，酒边塔影，冷落连山朝雾。断桥来去马蹄香，待重寻烧痕迷堍。残鸦倦舞。料不为斜阳稍住。几回游，怪旧时衣袂，缁尘如许。心期误。客枕惊春，梦醒山月去。隔年飘泪为看花，又东风满城瑶树。鸾笺觅句。算为此溪山休赋。最难禁，独自空帘卧雨。
梦芙蓉,近现代末当代初,徐震堮,湖霞飘散绮。记鸥边棹过，绀波十里。倚岩花暝，诗思乱鸦外。岸风欺客醉，青山流梦吴被。几日归来，应猿愁鹤怨，潭月夜深起。早是香寒袖底。吹笛中洲，散落江莲佩。锦漪无畔，罗袜旧尘洗。酒杯分涧翠，霜襟渐引秋意。唤起琴高，倩明珰寄远，清泪堕寒水。
金缕曲 哭弟履坦字道平，卒年二十,近现代末当代初,徐震堮,落地为兄弟。分此生蛩蛩駏駏，百年相倚。谁道浮萍无根草，聚散匆匆如此。忍便把、双亲抛弃。乍看吾侪成长了，令衰年又洒思儿泪。肠已断，哀犹未。四海子由今已矣。问几年心肝呕尽，都成何事。满架遗书空埃蠹，赢得亲朋雪涕。更心事、不堪提起。一叶茫茫人海大，算孤单入世真无计。行自念，痛予季。
八声甘州,近现代末当代初,徐震堮,指冻云城阙阵鸦回，珠帘月如弓。正梦啼秋水，酒悲高阁，霜枕来鸿。苦恨星寒剑涩，一叶感飘风。千万蓬山路，青鸟难通。莫问旧时阑楯，早梁空尘冷，憔悴珍丛。唤炉峰小雁，魂影隔冥濛。似仙人、观枰柯烂，现海山、弹指彩云空。人天感、听残灯外，街鼓鼕鼕。
鹧鸪天 舟次富阳,近现代末当代初,徐震堮,拂拂船旗指富春。一楼浓翠占斜曛。晚寒小市催帆落，淡画疏林带水昏。新感慨，旧游人。何时稳作一廛氓。西湖乍别严滩近，终与青山隔一尘。
谒金门 桐江旅舍雨眺,近现代末当代初,徐震堮,江上雨。遮却乱山无数。云水荒荒留不住。扁舟何处去。楼枕寒潮欲暮。樯燕向人饥舞。检点征衫颜色故。客愁烟外树。
唐多令,近现代末当代初,徐震堮,暝色夺归鸦。秋风引断笳。任愁云糊住窗纱。黄叶声多灯影薄，又魂绕，旧天涯。魂绕旧天涯。珠帘燕子家。有当时春水春霞。一片夕阳烘涕泪，照江山，去帆斜。
点绛唇,近现代末当代初,徐震堮,桃李城东，花花叶叶风吹树。半春无雨。蜡屐寻诗去。垂柳双扉，记买饧萧处。今无主。旧欢如絮。分付流莺语。
虞美人,近现代末当代初,徐震堮,浓阴惯傍阑干角。尽日垂罗幕。客窗随分换春衫。匝地飞花江北与江南。无端梦入青溪路。一片桃花雨。橹枝声里夕阳斜。几处楼台如画晚寒些。
后庭宴,近现代末当代初,徐震堮,去不多时，旧曾来处。事如春梦都无据。阑干寸寸是离情，楼前错种相思树。翻怜梦境分明，长遣柔肠萦住。嘘寒送暖，总属闲言语。絮影满空帘，东风欺白纻。
雨中花,近现代末当代初,徐震堮,屏上青芜心事误。知梦里、寻春何处。冻柳无姿，乱鸦如墨，遮断来时路。彩笔题诗浑欲许。枉添得、相思凭据。对镜花枝，入帷月色，没个分明语。
如梦令,近现代末当代初,徐震堮,昨夜客窗梦到。一半醒来忘了。无梦已多时，何苦相逢草草。休恼。休恼。付与灯昏月小。
临江仙,近现代末当代初,徐震堮,如梦秋光何处也，重阳未有黄花。苍苔细雨野人家。下帷听落叶，倚杖候归鸦。哀乐年年都惯了，而今无计消他。小窗合眼便天涯。携将新涕泪，来洒旧筝琶。
青玉案,近现代末当代初,徐震堮,东风吹老江潭树。一叶叶，随波去。多谢连江萍与絮。相看一例，涛翻浪卷，流向无人处。闹红深处帘栊暮。桃李春光等闲度。作计昌狂真自误。梦中啼唤，醒来犹怕，难向人前语。
鹊踏枝,近现代末当代初,徐震堮,十里垂杨飘古瓦。处处园亭，处处笙歌社。白纻春衫人似画。桃花乱扑闲车马。一笑归来春已谢。往事茫茫，付与深灯话。默数星光帘不下。半钩新月榆青罅。
水龙吟 杨花,近现代末当代初,徐震堮,才开便怨飘零，无风尽日濛濛坠。斜阳院宇，浅寒城郭，白茫茫地。魂怯难留，路长愁省，梦轻无系。任狂随画毂，低窥绣户，浑不是，凌云意。回眼芳菲何许，笑匆匆、满园桃李。春阴帘外，一声啼鴂，繁华无蒂。化作浮萍，连江东去，是侬归计。问世间何物，供人留恋，洒无端泪。
惜秋华 题宛春霜红簃填词图,近现代末当代初,徐震堮,岸帻听烟，指疏黄倦碧，西风林馆。雁阵破霜，书空暗缄瑶怨。萧寒恰称诗情，带几笔沙平崖断。谁知有，丹青难画，绮怀零乱。江上俊游远。记湖楼赌韵，醉题纨扇。缬眼冷红，犹作秾华相看。重来桂陌停车，已输却春光一半。愁展。比残鸦鬓秋惊换。
西江月 初见燕到,近现代末当代初,徐震堮,指点巢痕如故，年年归讯无愆。尊前相见便相怜。燕子于人何远。旧梦关情芳草，新愁对影飞绵。天涯地角一回旋。又到翠阴庭院。
临江仙,近现代末当代初,徐震堮,绕郭村村幽事，不教风雨相妨。唯将疏病送流光。一樽留客共，双屐为春忙。未改年时旧癖，宵宵枕藉书囊。四更斜月转吟窗。梦醒还似梦，花影欲扶床。
青玉案,近现代末当代初,徐震堮,轻衫小杖随花住。道春在，花多处。落照家家归燕语。疏篱矮屋，炊烟几缕，淡画溪边树。人言三泖多佳处。甚日呼船去听雨。十里烟波鸥作主。渔蓑理罢，云帆沙鸟，收入襄阳句。
定风波,近现代末当代初,徐震堮,枳棘篱头野雀喧。小庭生意自欣然。屋外无山晴更好。添了。斜阳一树晚来看。料理清狂原不负。知否。人间难得睡乡宽。明约看花侬更懒。先办。三杯卯酒压春寒。
踏莎行 哭刘子庚夫子。夫子于前岁夏殁于北平,近现代末当代初,徐震堮,词卷苍凉，儒冠侘傺。先生头白京尘底。一棺万事总成空，天涯归骨知何地。袖墨犹新，楹书谁寄。江南愁杀闲桃李。西州花发旧经过，十年三下师门泪。
玉楼春,近现代末当代初,徐震堮,支颐默数桥南树。策策阵鸦摧急雨。青溪寂寞柳弯腰，几日西风吹不去。虫窗驼坐愁如絮。黄叶声中惊得句。一重树影一重帘，最是秋来难画处。
满庭芳,近现代末当代初,徐震堮,梦叠山青，诗催雁瘦，板桥霜迹初新。未衰杨叶，风影落衡门。一片凉喧绕屋，推书起，茗椀无温。空帘外，啼螀渐引，丝雨织篱根。殷勤。凭汝说，寒縢上格，暗水添痕。怅满怀明月，抛掷何人。笑煞闲愁燕子，十年计、错种龙鳞。沉吟许，寒添半臂，觅句倚灯唇。
最高楼,近现代末当代初,徐震堮,关情处，缘浅转情多。对面隔山河。恼渠明镜团圞月，思君流水去来波。一天愁，无处顿，问双蛾。花太妩、尚馀春几尺，人欲渠、懒题笺十色。心宛转，影婆娑。绿阴终作他家树，青梅休唱小时歌。说相思，灰尽也，冷难呵。
洞仙歌 重阳前一日作,近现代末当代初,徐震堮,桐阶倦立，早重阳近也。未有黄花补篱罅。好秋光、都付寒日疏棂，鸦影里、一片萧萧叶下。故乡亲友少，零雁无行，休道茱萸醉堪把。佳节若为酬，衰袂西风，凭高泪、为谁轻洒。待闭上重门梦年时，又蓦地惊雷，满城车马。
浪淘沙慢 烟雨楼记游,近现代末当代初,徐震堮,市桥外，湖风送暝，岸柳摇碧。霜力初酣素陌，诗情正绕画楫。知坼绣楼台移曲折，倚危阑、绿影扶屐。揽四面烟波暮帘卷，空明荡愁睫。闲立。嫩凉暗逗林隙。早鹭老荷枯横塘冷，向晚湖水急。巡翠罨长堤，风影如织。去鸿未息，鸣橹声中，一片晴霞红湿。唤起归舟迎寒入，鸥程阻、胜游顿隔。但回首、清晖留梦忆。更休问、角里长街，甚处觅，一楼独借斜阳色。
摸鱼子 感秋,近现代末当代初,徐震堮,倚新凉、小楼吹暝，斜阳都在高处。鸡冠鸭脚依然好，闲煞灌园心绪。凭问取。甚畅好、秋光苦恋啼鸦树。鸣蛩替语。道画楫双舟，闹红门巷，梦里不能去。钟鸣后，门外西风又怒。篱头暮雨如注。挑灯自写安仁赋。烟墨零星谁谕。仍倦旅。怪新雁、寒暄不到闲庭宇。韶华过羽。笑铅椠生涯，歌呼岁月，此事定何如。
清平乐,近现代末当代初,徐震堮,楼居无恙。爱作神仙想。一片飞花随水漾。触起年时惆怅。而今梦断平芜。满城烟雨模糊。门外颠风如虎，问君睡得成无。
临江仙,近现代末当代初,徐震堮,老树不风偏有韵，淡烟浅画成图。高城斗转入平芜。长空一鸟下，孤塔乱云扶。范水模山都著迹，何人得见真吾。最分明处最模糊。夕阳如琥珀，写得此诗无。
瑞鹧鸪,近现代末当代初,徐震堮,缫丝风雨强登临，折得桃花不自簪。一样凄凉家国事，十分珍惜岁时心。眼前芳草无行路，身外浮云入浪吟。到处闲愁先我在，却缘相避转相寻。
千秋岁,近现代末当代初,徐震堮,诗无一句。却有愁千缕。浑不解，愁来处。夕阳秋井塌，人影长于树。吟望久，寻钟一路沿花去。池畔逢僧语。小立看萍聚。沙岸晚，初过雨。城东黄叶寺，又被诗留住。归鸟尽，一声磬落无人许。
蓦山溪 北书至，有感，却寄,近现代末当代初,徐震堮,看花迸泪，惯到残春病。门掩绿苔深，正愁绝、天涯芳讯。杜鹃声里，强起倚阑干，寒犹凝。红成阵，寂寞江南景。烽烟北望，寸寸关河影。慷慨筑声哀，甚荆高、风流顿尽。平原绣出，笑煞卖浆家，长剑耿，孤檠静，我辈生涯定。
鹧鸪天,近现代末当代初,徐震堮,白袷青灯雨屋深。惜花还惜少年心。玉箫声里春风句，几度低徊独自吟。云曳白，柳拖金。身闲无事且登临。万千空际蟠旋想，争似昭文不鼓琴。
月华清 戊寅1938闰七月之望，白露始降，避地沪堧，已逾半载，诵杜陵“露从今夜白，月是故乡明”之句，为之黯然,近现代末当代初,徐震堮,客枕迎凉，虫窗款夕，酒杯吟事都懒。租庑光阴，忽忽素秋将半。溯归心残梦河山，顿闲泪、暗蛩庭院。愁畔。有谁家怨笛，雁帘孤捲。今夜清光还满。奈露湿梧宫，草迷萤苑。菱唱江南，凄入倚楼心眼。倩笳声唤起城乌，问何处、旧巢堪恋。魂远。傍西风茅屋，绕枝千转。
念奴娇 用东坡居士韵，继宛春作,近现代末当代初,徐震堮,劫灰红处，莽天涯、谁是人间英物。整顿乾坤须此手，莫学灵均呵壁。倚剑空同，洗兵辽海，气作胥涛雪。泰山难撼，背嵬多少豪杰。君看鼙鼓声中，雄狮睡起，一怒春雷发。指点蓬莱清浅水，会见胡氛当灭。麟阁功名，龙门史笔，不负将军发。一杯笑属，汉家无恙明月。
水龙吟 挽留吴瞿安夫子，戊寅,近现代末当代初,徐震堮,伤心海雪诗人，抱琴竟向蛮中老。干戈满眼，田园万里，王风蔓草。药裹关心，长镵托命，瘴江春渺。记南明旧事，玉箫曾谱，缄愁地，今亲到。廿载湖山吟啸。都付与秣陵凄调。画船携酒，玄亭问字，前尘如扫。虎阜埋云，蛉川涨雨，骑鲸路杳。剩哀时馀泪，大招赋罢，洒霜花稿。
一萼红 庚辰1940人日，与张古香、王季思游金华北山，以白石老仙《人日登长沙定王台》调纪之,近现代末当代初,徐震堮,翠禽啼。放新晴半路，乔木洗岚霏。危石云欹，飞泉玉泻，凉影浮上萝衣。步深窈、呼灯照瀑，更穿险、舟小度岩扉。迹记龙年，诗题人日，分付双溪。尘外不知何世，向红梅古寺，蜡屐重携。月冷笙坛，云封鹤树，寻问仙境都迷。听江上、声声鼓角，且容我、消受烂柯棋。望极斜阳，故山可有春归。
夜读定庵集,近现代末当代初,田遨,定公极目海天昏，独倚东南有泪痕。万水千山沦夜雨，一箫一剑簸春魂。当年空说公羊学，大地深悲万马喑。细读遗篇思注解，森然鳞甲恍难扪。
感逝,近现代末当代初,田遨,怜渠身后太萧条，为抚遗孤不惮劳。已感人琴尘漠漠，那堪邻笛雨潇潇。滔滔举世炎凉态，落落几人生死交。我亦慨然思侠骨，江湖满地梦魂遥。
病酒放歌,近现代末当代初,田遨,使吾健啖君将食全牛，使吾善饮吾将老糟邱。惜我不能坐对弥勒吃猪头，亦不能千钟百榼消烦忧。坐此往往逃燕游。春街深处半街楼，尘嚣中有小清幽。二三胜侣时相投，相见刺刺不能休，便说诗格珊瑚钩。俄倾案上罗肴羞，凫花在手申绸缪，量小也自飞觥筹。裁诗并未罚羊刘，竟使我懵懵腾腾恍作醉乡侯。戏将汤饼饫以油，又使我突然暴下两尻风飕飕。夜深客去不肯留，高卧独与病相雠。方知阮籍酣放信招尤，更怜少陵白酒牛肉竟作土一抔。欲睡不能睡，万感纷难收。思欲屏杯杓，从今不与酒人酬。更思远肥醲，长甘蔬笋无他求。吁嗟乎，安得人生二百秋，自由王国足自由。处处楼阁间田畴，人人劳作逐清讴。图书环匝供咿嗄，万千奥秘任研搜。扫除群丑歼厥酋，大地从此无奸偷，一举洗尽古今愁。我亦凌空万里跨苍虬，浩然溟涬与心谋。回首昆仑冈，点点如青沤。旁有五大洋，不过寻常沟。左臂一轮月，一踢飞作天边毬。右胁海王星，一掷旋转万千周。此时银河之上可行舟，银河系外可通邮。天外飞来秘简，珍重不啻琳琅球。读秘简，酌金瓯，一读一酌奇思抽。能咒坚冰热，能化纯钢柔。掣虹能作桥，织云能成裘。能绝夭扎起佝偻，即看哺醊亦风流。更喝六龙迥天辀，长寿不觉飞光遒。此时胸无羁绊如脱囚，天风拂拂，旧梦新恙为之瘳。蓦惊起，揩双眸。晨光动，鸟啁啾。醒来知是梦，梦境尚飘浮。自念寄情狂想非谬悠，写来一笑寄凉州。
题黄山云海图,近现代末当代初,田遨,黄山旧梦未能忘，忽喜黄山逼卧床。石老烟荒松夭矫，云愁海思鸟微茫。身随千嶂浮沉里，心接九天风露凉。欲为人间消偪侧，画中权作小仙乡。
赠陆俨少先生,近现代末当代初,田遨,腕底江山蟠万里，笔端云树莽千年。画情倏忽生明暗，一道斜阳破积烟。
偶赋 江青,近现代末当代初,田遨,青蓝涂抹作生涯，唱本偷来属妾家。欲扮女皇终不似，只应常扮赛金花。
舟自胥口入太湖,近现代末当代初,田遨,泰娘桥上草浮烟，渔具鸡笼共一船。喜是推蓬忽空阔，太湖胸次两涵天。
湖上夜眺,近现代末当代初,田遨,不辞没踝踏泥行，来看湖光上下明。月在天心心在水，浩然银汉泻无声。
野翁画紫藤，嘱题,近现代末当代初,田遨,闭门久不问芳菲，今看花光漾晚晖。忽觉狂情来笔底，乱藤欲化紫虬飞。
六十书怀,近现代末当代初,田遨,依旧楼头夕照红，当年簸荡雨兼风。尚留老眼看今日，深觉霜毛负乃公。肮脏才情人落落，萧条书剑梦匆匆。忽临长路愁腰脚，独倚南天送过鸿。
砚边杂言 其一,近现代末当代初,田遨,无情诗莫作，无香花莫养。纸花犹可玩，枯诗有谁赏。情贵高与真，尤须通灵爽。安得共登临，一唱千山响。
砚边杂言 其二,近现代末当代初,田遨,泛题要窄写，窄题要放宽。大海一泓耳，杯水有波澜。
砚边杂言 其三,近现代末当代初,田遨,同是天上星，作喻可殊类。或道明似眸，或道似苦泪。或道如火荧，或道如珠碎。或道红豆抛，或道繁灯缀。或道大小熊，或道仙姊妹。譬喻本多端，臆想生向背。莫笑尽跛脚，跛脚含精粹。
砚边杂言 其四,近现代末当代初,田遨,治印可刮角，作字可稚拙。世有残缺美，此理待评说。人物高大全，要美转成丑。黄金无足赤，水纯不可口。
砚边杂言 其五,近现代末当代初,田遨,或以甘为佳，或以涩为贵。说诗有两端，此理宜领会。深语须寻绎，浅语不待赘。太生意多晦，太熟殊少味。不生不熟间，可餐亦可醉。要随意所需，偏至究茫昧。
厦门登日光岩,近现代末当代初,田遨,延平战垒倚高寒，列岛纵横烟外看。海峡两边应共慨，神龙那许片鳞残。
无题 其一,近现代末当代初,田遨,欲抚瑶琴独自伤，回思旧梦总荒唐。朝朝歌管雷同调，处处文坛月旦狂。打鬼拜神沿陋俗，锄兰笯凤等寻常。佳人都是搬姜鼠，那有闲情绣紫凰。
无题 其二,近现代末当代初,田遨,囚住姮娥月一丸，行天容易自由难。频年空盼乌头白，此夜争传塞马还。绿酒红灯狂泼墨，惊才绝艳笑凭栏。座中也有吴刚在，金粟花前斧影寒。
无题 其三,近现代末当代初,田遨,华林红紫乱啼莺，桂影婆婆梅影横。文酒偏多名士贼，剑歌几见可儿卿。频年旧劫还新劫，历史无情却有情。底事梦回还怅怅，朦胧过也转分明。
《杨度外传》将出版，自题 其一,近现代末当代初,田遨,一时成败本寻常，谤大于身信可伤。自古文人感知己，何须深怪蔡中郎。
《杨度外传》将出版，自题 其二,近现代末当代初,田遨,前贤心迹剖明难，褒贬随人意未安。写到子云投阁恨，千秋谁与洗沉冤。
淳安谒海瑞先生祠,近现代末当代初,田遨,英雄血泪总斑斑，敢批逆鳞甘罢官。今谒新祠思往事，呼天一问古来难。
某饭店邀跳舞，谢不往,近现代末当代初,田遨,多谢良朋折柬招，浓歌艳曲共今宵。自知俯仰无柔骨，不敢随人试舞腰。
登伏波山,近现代末当代初,田遨,边地犹思马伏波，青山遗烈两峨峨。绝怜百战功成后，薏苡明珠谤亦多。
自嘲,近现代末当代初,田遨,狎我呼老谢，尊我呼谢老。狎尊无不可，细事随缘好。独于是非间，不肯逐妍巧。咄咄讶狂澜，行行寻芳草。自笑亦大痴，触眼空烦恼。无力却忧天，榛芜苦难扫。旁人皆大笑，果是一呆鸟。
自寻,近现代末当代初,田遨,忽失我所在，四顾欲寻我。茫茫六合间，不知在何所。既未落尘秽，亦未离烟火。况我一微尘，浮游天之左。迷离万情丝，缠入因与果。中有两我在，各自矜婀娜。一我欲精勤，万卷读之破。一我欲偷懒，万事随笑唾。两我不相让，激辩争一可。蓦地分吹去，魂兮任飘簸。旋见阳光下，花间有我坐。我呼或非我，不过小光朵。
游吴杂咏 登盘门,近现代末当代初,田遨,金戈铁马旧盘门，旁有荒祠伍相尊。莫笑苏台娇治甚，此间千古水云屯。
游蜀杂诗 其一 杜甫草堂,近现代末当代初,田遨,草堂门闭走旁门，堂外风光失旧村。犹记浣花溪水碧，无边花树护诗魂。
游蜀杂诗 其二 灌县登索桥,近现代末当代初,田遨,重寻名刹碧琳琅，玉垒山前草树香。踏上索桥难矩步，老来也学舞郎当。
游蜀杂诗 其一,近现代末当代初,田遨,坡老平生似散仙，每餐从不两荤膻。那知身后鱼和肉，都借高名赚大钱。
重庆南温泉露天浴池试浴,近现代末当代初,田遨,温泉仰卧看云光，山色苍茫绕四廊。身自浮沉心自静，浑忘人世有炎凉。
过巫峡,近现代末当代初,田遨,十二峰峰转，苍崖云气深。江流多转折，天色乱晴阴。国事千年计，平生万里心。何当烟水阔，快棹到仙浔。
先母忌辰作,近现代末当代初,田遨,暌隔经年一省亲，几曾相守问晨昏。而今常洒思亲泪，到死终为负罪人。
蒲家庄访聊斋,近现代末当代初,田遨,孤鬼纷纷变相生，蒲庄尚有著书楹。我来欲借先生笔，奇谲荒唐写世情。
《上海诗词》编委会上，主编萧挺提出，诗词应反映现实反映时代，余有同感，因补述已见 其一,近现代末当代初,田遨,欲问诗坛近若何，花枝高下自婆娑。辞情慷慨名篇少，饤饾零星滥调多。雷雨八荒应入抱，生涯百态尽堪歌。筝琶歇处听天籁，悬瀑轰鸣鸟语和。
《上海诗词》编委会上，主编萧挺提出，诗词应反映现实反映时代，余有同感，因补述已见 其二,近现代末当代初,田遨,诗家境界本来宽，忧国谈兵写寸丹。碧海掣鲸情有托，阆风緤马感无端。
官倒,近现代末当代初,田遨,咄咄惊偷运，滔滔多冒牌。飞蝗能蔽日，蚂蚁总缘槐。转手真财薮，撑腰实祸阶。但求严法治，当可净风霾。
己巳春日杂诗（录十六首） 其一,近现代末当代初,田遨,堤后楼台杨柳风，堤前浊浪远连空。此间信是黄金角，万亩桃花照海红。
己巳春日杂诗（录十六首） 其二 题画,近现代末当代初,田遨,雪里芭蕉造境遒，诗情画意两风流。意高不作逼真想，红是春光黄是秋。
己巳春日杂诗（录十六首） 其三 题画鹰,近现代末当代初,田遨,碧天无际草萧萧，画笔峥嵘意气骄。恍在长城最高处，秋风古堞看盘雕。
己巳春日杂诗（录十六首） 其四 淀山湖上,近现代末当代初,田遨,湖上侵晨烟水昏，沿堤新草没潮痕。雨天洗出无边翠，一树海棠红半村。
己巳春日杂诗（录十六首） 其五 冥想中恍如有悟,近现代末当代初,田遨,皓齿明眸林下风，才通笑语又匆匆。蓬莱宫阙无缘到，仙梦时时一闪中。
己巳春日杂诗（录十六首） 其六,近现代末当代初,田遨,少年有梦总拿云，壮岁痴情梦也温。莫道老来无好梦，宵宵突兀见昆仑。
