题目,朝代,作者,内容
长亭怨 重九西山看红叶寄南田,近现代末当代初,张伯驹,扫残叶、西风门掩。犹记春时，海棠开宴。烛照红妆，夜深花睡影零乱。回思前梦，空陈迹，成秋苑。酒醒雁声沉，问唤起、离愁何限。凄黯，只知佳节近，不道看花人远。茱萸插帽，纵风雨、登高还懒。最怕是、旧地重游，又尘涴、青衫泪满。对十里霜红，独向斜阳留恋。
桂枝香 岁暮同蔼仁南田华甫夜话时山茶水仙并开去年风景犹如昨日词以写之,近现代末当代初,张伯驹,云留月榭，正戍鼓谯楼，寒更初下。小院重门深闭，酒阑歌罢。去年风景依稀似，弄幽姿、冬花低亚。丹砂堆锦，玉盘剪雪，对人如画。记春日、贪欢到夏。认前度刘郎，又归来也。值此江关岁晚，奈何良夜。十年尘梦随流水，更西窗、剪灯同话。不知身外，长安弈局，一劫犹打。
鹧鸪天 甲戌正月下旬偕韵绮同西明夜至无锡借灯笼入梅园宿次日冒雨登鼋头渚望太湖归谱此词,近现代末当代初,张伯驹,为惜疏香此小留，碎阴满地语声柔。花光照眼还如雪，湖水拍天欲上楼。风细细，雨飕飕。计程明日又苏州。客中过了春多少，只替春愁不自愁。
高阳台 西湖春感,近现代末当代初,张伯驹,万绿凝烟，千红泣雨，我来春已堪怜。楼外阴阴，倚阑莫捲帘看。裙腰不见当时路，最伤心、苏小坟前。雨缠绵、春去无声，花落无言。明朝酒醒逢寒食，怅客中风月，劫后湖山。柳下笙歌，销魂第六桥边。旧时燕子犹相识，又双双、飞上湖船。莫留连，处处啼莺，处处啼鹃。
霓裳中序第一 西山赏雪归作,近现代末当代初,张伯驹,江山倏换色，万象无声都一白，桥下流冰潺潺。看亘野玉田，凌空银壁，荆关画笔。唳朔风、飞雁迷迹。恁阑望、一天黯淡，更莫辨南北。清寂，埋愁三尺。玉街暗、繁云冻逼，归车难识旧宅。又夜永如年，酒寒无力，烛盘红泪滴。梦里觉梅花扑鼻。铜瓶冷、竹窗萧瑟，月影映丛碧。
清平乐 诸暨至金华道中,近现代末当代初,张伯驹,酒痕诗意，梦里都难记。帽影红尘摇玉辔，马上春风如醉。李花开后桃花，送人直到金华。但愿年年花好，不妨人在天涯。
浪淘沙 广州至汉口飞机上作,近现代末当代初,张伯驹,乱雨湿江天，晓雾漫漫。万峰叠翠到人前。归梦又随春去也，日近长安。百丈响风鸢。俯视云烟。岳阳城下浪花翻。一镜空濛三万顷，飞过君山。
秋霁 中秋同韵绮鹤孙西明泛舟昆明湖赏月迟景荣吹笛王瑞芝操弦和之,近现代末当代初,张伯驹,千里婵娟，与玉阙琼楼，共一颜色。寒似层冰，皎如圆镜，照来水天双澈。一叶剪碧，荇飘翠带鱼盈尺。隔树阴蛩语，长桥横卧少人迹。歌板暗诉，怨抑沉沉，夜阑秋声，都入瑶笛。倚兰桡、临流顾影，人间未应有今夕，疑是广寒天上客。素娥何处，应似桂殿同游，满身清露，去时还湿。
鹧鸪天 西湖旅夜,近现代末当代初,张伯驹,二月春寒未放晴，炉香烟细冷云屏。灯花照影愁先觉，湖水摇窗梦不成。一阵阵，一声声，斜风细雨到天明。问人夜睡何曾着，燕子无须唤客醒。
兰陵王 金陵客中依清真韵,近现代末当代初,张伯驹,晚烟直，春草无人自碧。吴门外、官道夕阳，怕见青青柳丝色。红尘望故国，谁识？飘零旧客。来时路、天外片帆，不尽江流泪千尺。萍踪问前迹。又酒剩空尊，花落残席。小楼夜雨过寒食。忆十里迢递，几番寒暖，亭长亭短又一驿。念家在天北。悲恻，恨凝积。叹客意阑珊，归梦沈寂。芳春有尽愁无极。听卖杏深巷，唤饧长笛。寒宵孤枕，更漏断，似泪滴。
西河 金陵怀古答南田依清真韵,近现代末当代初,张伯驹,形胜地，兴亡梦里谁记。寒流北望接天低，怒潮又起。归帆去棹送征人，斜阳冉冉无际。曲阑畔，曾共倚，桃叶渡口船系。当年第宅剩春风，燕泥故垒。昔游回首几经年，应知愁似江水。绿杨白板旧酒市，想枇杷、花下门里，换了繁华人世。只秦淮、片月凄凉，相对曾照南朝，歌声里。
菩萨蛮,近现代末当代初,张伯驹,乱红转眼随春去，只余满院黄昏雨。妆罢倚阑干，琵琶和泪弹。玉颜人易妒，更为多情误。妾命薄如花，愿郎休去家。
金缕曲 题寒云词后,近现代末当代初,张伯驹,一刹成尘土。忍回头、红毹白雪，同场歌舞。明月不堪思故国，满眼风花无主。听哀笛、声声凄楚。铜雀春深销霸气，算空余、入洛陈王赋。忆属酒，对眉妩。江山依旧无今古。看当日、君家厮养，尽成龙虎。歌哭王孙寻常事，芳草天涯歧路。漫托意、过船商贾。何逊白头飘零久，问韩陵、片石谁堪语。争禁得，泪如雨。
临江仙,近现代末当代初,张伯驹,帘影故家池馆，笛声旧日江城。一春深院少人行。微风花乱落，小雨草丛生。驿路千山千水，戍楼三点三更。繁华回忆不分明。离尊人自醉，残烛梦初醒。
浪淘沙慢 恨别依清真韵,近现代末当代初,张伯驹,晚春近、烟迷路柳，树隐云堞。南浦年年草发。愁歌进酒一阕。正缀雪、丁香初绾结，曲阑外、忍与轻折。念久客归人今又去，情怀倍凄绝。悲切。远天望里空阔。兄渡口烟波停桡处，北去江水咽。记执手沾巾，花里离别，笛声渐竭。更水程山驿，疏星残月，闲馆云屏遮重叠。罗衣解、暗香未歇。问消息、菱花圆又缺。晓来看、昨夜东风，甚作剧，吹残满架蔷薇雪。
六州歌头 登黄山天都峰绝顶,近现代末当代初,张伯驹,擎天拔地，声势走雷霆。俯台荡，睨衡岱，摘辰星，接通明。造化融元气，钟神秀，东南坼，撑半壁，排云雾，划昏暝。翼翼乘风，直上四天外，极望蒙溟。看银涛出没，长啸万峰青。岩壑齐鸣。暗魂惊。渐流霞灿，残烟断，斜晖晚，月华生。收万象，归神照，证飞生，缅容成。来日方多难，悯虫劫，吊愚氓。巢燕幕，酣龙战，竞蛮争。依恋每瞻北斗，铜驼泣、荆棘神京。欲呼河汉水，一为洗膻腥，寰宇澄清。
南浦,近现代末当代初,张伯驹,欲行还住，似乌衣、旧燕已无家。过眼风流人物，尘劫幻虫沙。底事相争鹬蚌，问茫茫、天意一长嗟。向燕台酹酒，新亭洒泪，风雨吊黄花。回忆当年全盛，更何堪、镜里梦繁华。旧时凄凉谁诉，肠断又天涯。叹息皇都冠冕，只空余、山色蓟门斜。忍伤心重看，云中城阙噪栖鸦。
双双燕 咏新燕依梦窗韵,近现代末当代初,张伯驹,掠烟剪水，参差趁东风，乍窥庭户。香巢觅定，相认应非前度。杨柳楼台静锁，问门掩、梨花何处。江南又是残春，怕说天涯同住。轻举，乌衣翠羽。帘捲待归来，乱红如雨。新妆初试，解向玳筵歌舞。凭寄离思倦绪，念身世、飘零谁诉。还愁更对夕阳，一片江山无语。
扬州慢 归故都感作和白石韵,近现代末当代初,张伯驹,云驿星津，雨轮风楫，倦游早计归程。豁迎眸一发，认故国山青。向谁洒、伤时涕泪，洗戈银汉，何日销兵？敛西风残照，余晖，犹恋高城。少年俊侣，奈如今、潘鬓堪惊。纵万里乘槎，千金买赋，难慰深情。回首十年前事，疏帘外、酒醒钟声。祗愁如春水，无人随去随生。
淡黄柳 记游苏州和白石韵,近现代末当代初,张伯驹,垂杨岸曲，路入飞花陌。小雨轻阴寒恻恻。旧侣今番又到，惟有春风笑相识。念孤寂，他乡几寒食。掩苔径，那家宅，正桃红染尽胭脂色。莫倚桥栏，近来人瘦，怕照春波影碧。
惜红衣 忆游西湖和白石韵,近现代末当代初,张伯驹,水贴轻云，风熏丽日，暗添吟力。细浪平波，奁函净澄碧。浓妆淡抹，沉醉得、南来词客。喧寂，秾李冶桃，闹春光消息。车尘巷陌，倦游归来，征衫酒痕藉。贪欢不恋旧国，隔天北。为想柳边花外，能有几番游历。待甚时重到，轻载一船山色。
角招 赏菊和白石韵,近现代末当代初,张伯驹,比花瘦。罗衣耐西风又到疏柳。紫翠明远岫。别院曲阑，随处垂手。经年别久，几负得、黄华盈亩。傲骨凌霜，问肯共、桃李斗芳菲，向东皇低首。独有，绮筵舞袖，延秋暂住，花面颜争秀。燕声歌自溜。易得匆匆，重阳时候，登临念旧。恁醉醒、何堪残酒。静理琴弦独奏。又寒雁、过西楼，人归后。
征招 柬香雪西明沪上和白石韵,近现代末当代初,张伯驹,关河冷落西风里，离怀易悲秋士。景物异前时，看江山如此。天涯人倦矣，应知有莼鲈乡思。别后江南，酒痕征泪，满衣都是。故旧半飘零，重相忆、全非眼前风味。夜雨又西窗，冷云屏十二，世情徒尔尔。早消尽、欢场豪致。念残岁，满地烽烟，奈欲归无计。
凄凉犯 故都寒冱梅种难活去岁江南归来载取四株种植庭前只活一本纸窗草荐勤加护持词以纪之和白石韵,近现代末当代初,张伯驹,美人载得同归去，伊谁为缔红索。作花管领，安排纸帐，画阑楼角。霜寒忒恶。倚修竹、衣单袖薄。似明妃、胡天不惯，抱恨向沙漠。闻道江南事，尘劫初惊，暗消欢乐。怕辜胜赏，想东风、早经零落。唤住冰魂，好重叠、龙绡护着。有前盟、卧雪晚岁肯负约。
翠楼吟 焦山怀古和白石韵,近现代末当代初,张伯驹,北固南徐，江天一览，当年榜书宸赐。巡游曾驻跸，忆箫鼓、龙舟繁吹。螺鬟双峙。倚粲阁崇楼，飞丹流翠，春波丽。浪花帆影，鲤鱼风细。此地，独属焦生，笑紫髯雄据，直如儿戏。白云人事远，望烟树、迷离千里。梵钟禅味。祗梦逐潮声，愁销江气。危阑外，海门东下，一天晴霁。
长亭怨慢 大梁,近现代末当代初,张伯驹,记前梦、鸿泥花絮。旧巷师师，月明窥户。李主前身，道君今问在何许。雪天回首，空目断，离宫树。怨曲谱山亭，忆剩得、缠绵如此。薄暮。望樊楼不见，绕树乱鸦无数。前朝去矣，只荒漠、夕阳留付。甚作赋、早减邹枚，旧宾客、梁园谁主。算只有登高怀远，河流如缕。
暗香 岳阳楼和白石声韵,近现代末当代初,张伯驹,四天一色。问几人到此，偷听吹笛。万顷银涛，直上乘槎斗能摘。三醉楼头事杳，长留得、君山仙笔。更望极、玉界琼田，帆影落杯席。南国，梦却寂。剩数点黛痕，翠竹丛积。暮花暗泣，绡毂明珰耿相忆。应是湘娥倚处，但照彻、孤光寒碧。看镜里、飞过也，朗吟记得。
疏影 七里泷严子陵钓台和白石声韵,近现代末当代初,张伯驹,澄江净玉。唱数声欸乃，岩下初宿。十里苍烟，三尺清波，空山自响风竹。几人雪涕追皋羽，看对矗、双台南北。倚瘦筇、直上孤峰，顾觉此身高独。争羡羊裘避世，素丝坐钓久，千籁俱绿。赤帝歌风，白水图云，那抵岩家茅屋。鸬鹚一片惊飞处，又乍起、笛声渔曲。早此时、尽息尘心，已入九峰绡幅。
凄凉犯 壮岁入秦从戎虽滥得勋赏狗尾羊头殊不抵画眉妆阁也和白石声韵,近现代末当代初,张伯驹,玉骢翠陌。封侯悔、秦关忆赋离索。酒家醉饮，飞花路外，秦笳城角。残愁镇恶，向烟晚、情怀淡薄。望当年、樊川杜曲，迤逦剩荒漠。追念长安事，宝马貂裘，晚来游乐。少年队里，想英姿、射雕双落。误我羊头，怎怀念、春闺梦着。盼归期、绿尽路柳负后约。
角招 故都侨寓几换沧桑岁月不留中午倏过残夕灯影感慨万端歌以遣之和白石声韵,近现代末当代初,张伯驹,暗消瘦。何堪问、当年汉殿人柳。倦看云恋岫。半着已输，休问棋手。王城梦久，早负却、锄云梅亩。一室秋灯缥渺，向残夕忆春华，几沧桑回首。还有，玉颜翠袖，朱楼买醉，人共唐花秀。泪辞明烛溜。易得悲欢，黄昏时候，风光似旧。念一往、情怀如酒，锦瑟凄凉自奏。劝哀乐、莫关心，中年后。
枕上 时弟履坦字道平殁，年仅二十 乙丑,近现代末当代初,徐震堮,南北东西外，哀鸣总一声。微虫尔何感？万念不能平。翅折霜前雁，心干秋后萤。都将两行泪，并作此时情。
孤怀,近现代末当代初,徐震堮,倚树听秋暝，颓光忽在袂。平烟际远林，澹入昏鸦背。感物难自名，将非情为累？俯仰无好怀，草木有衰态。霜叶坠如潮，饥蝉鸣亦懒。蹉跎失旧赏，俯仰成孤对。方寸变荣枯。孰亡而孰在？寥寥空宇中，绵思逐遥籁。
鲛人歌,近现代末当代初,徐震堮,持起青天月，照出沧海心。下有鲛人织绡骊宫阴。朝一机，暮一机，鲛人织绡泪作丝。泪珠已竭，织绡成匹，鲛人心苦无人识。大海上，闻有蓬莱、方丈三神山，金银宫阙照耀洪波间。琪花瑶草相回环，姑射仙人冰雪颜。我胡不见空往还？大海上，何所见？但见奔云蹑电昼晦冥，黑风掀浪波千层。中有海豚吹血腥，海神叁目驱水行。帆倾樯折出复没，长江下瞰波涛黑。亦有人间父母心，割肝裂肺顾不得。大海之怒安可测！悲海客，海客良可哀，乘风跋浪天边来。扶桑日出东南隈，梦中幻出金银台。血肉沉埋千丈底，姓名灭没无人记。海水为坟墓，天风作挽歌。海客之梦今醒未？吁嗟海客兮奈尔何！鲛人歌，声凄恻。朝朝海边歌，夜夜机上织。妆得海客梦中黄金丝，织作冰绡寸寸裂。持赠君，君不识。
论诗,近现代末当代初,徐震堮,诗自人心生，里巷有风雅。日读《三百篇》，知是谁作者？屈宋已文胜，益降为扬马。陵夷至六代，礼失求诸野。迩来千余年，李杜号中兴。三唐及二宋，人以诗家名。南渡杨与陆，课诗衡石程。动辄一万首，欲读吁可胜。言多失真意，诗多失性灵。
雨后溪行,近现代末当代初,徐震堮,疏星堕水光炯炯，湿风欺树晚逾猛。古柳作势欲趁人，十步之外如鬼影。病叶饱雨声酸嘶，背寒一一下故枝。暝坐了不闻烟响，压船一卷枯僧诗。
春愁曲,近现代末当代初,徐震堮,新月挂树巢痕孤，隔窗弦语惊栖乌。楼深帘卷风不定，江天梦堕春模糊。暝烟暗湿西园草，一尺凉云满秋抱。门外马嘶声渐殷，井鸦忽报鱼天晓。玉珰缄札无人投，蛾眉坐被鸾镜羞。琴长瑟短不可道，锦屏蜡泪量春愁。
