"题目"，"朝代"，"作者"，"内容"
"车遥遥","南北朝","车?","车遥遥兮马洋洋，追思君兮不可忘。君安逝兮西入秦，愿将微影随君身。君在阴兮影不见，君仰日月妾所愿。"
"旦发青林诗","南北朝","孔稚圭","孤征越清江，游子悲路长。二旬倏已满，三千眇未央。草杂今古色，岩留冬夏霜。寄怀中山旧，举酒莫相忘。"
"白马篇","南北朝","孔稚圭","骥子局且鸣，铁阵与云平。汉家嫖姚将，驰突匈奴庭。少年斗猛气，怒发为君征。雄戟摩白日，长剑断流星。早出飞狐塞，晚泊楼烦城。虏骑四山合，胡尘千里惊。嘶笳振地响，吹角沸天声。左碎呼韩阵，右破休屠兵。横行绝漠表，饮马瀚海清。陇树枯无色，沙草不常青。勒石燕然道，凯归长安亭。县官知我健，四海谁不倾。但使强胡灭，何须甲第成。当今丈夫志，独为上古英。"
"白纻歌","南北朝","孔稚圭","山虚钟磬彻。"
"游太平山诗","南北朝","孔稚圭","石险天貌分，林交日容缺。阴涧落春荣，寒岩留夏雪。"
"酬张长史诗","南北朝","孔稚圭","同贫清风馆，共素白云室。"
"陌上桑四首 其一","南北朝","王台卿","郁郁陌上桑，盈盈道傍女。送君上河梁，拭泪不能语。"
"秋闺怨诗","南北朝","王僧孺","斜光隐西壁，暮雀上南枝。风来秋扇屏，月出夜灯吹。深心起百际，遥泪非一垂。徒劳妾辛苦，终言君不知。"
"渡河北诗","南北朝","王褒","秋风吹木叶，还似洞庭波。常山临代郡，亭障绕黄河。心悲异方乐，肠断陇头歌。薄暮临征马，失道北山阿。"
"同沈右率诸公赋鼓吹曲二首 其一 巫山高","南北朝","王融","想象巫山高，薄暮阳台曲。烟霞乍舒卷，蘅芳时断续。彼美如可期，寤言纷在瞩。怃然坐相思，秋风下庭绿。"
"入若邪溪诗","南北朝","王籍","艅艎何泛泛，空水共悠悠。阴霞生远岫，阳景逐回流。蝉噪林逾静，鸟鸣山更幽。此地动归念，长年悲倦游。"
"长安听百舌诗","南北朝","韦鼎","万里风烟异，一鸟忽相惊。那能对远客，还作故乡声。"
"断句诗","南北朝","刘昶","白云满鄣来，黄尘暗天起。关山四面绝，故乡几千里。"
"自君之出矣","南北朝","刘骏","自君之出矣，金翠暗无精。思君如日月，回迁昼夜生。"
"舟中望月诗","南北朝","朱超","大江阔千里，孤舟无四邻。唯馀故楼月，远近必随人。入风先绕晕，排雾急移轮。若教长似扇，堪拂艳歌尘。"
"山中楚辞六首 其一","南北朝","江淹","青春素景兮白日出之蔼蔼。吾将弭节于江夏。见杜若之如大。结雕鳞以成车。悬杂羽而为盖。草色绿而马声悲。欷沿油以流带。"
"山中楚辞六首 其三","南北朝","江淹","入橘浦兮容与。心敞惘兮迷所识。视烟霞而一色。深秋窈以亏。天上列星之所极。"
"山中楚辞六首 其五","南北朝","江淹","石筛筛兮蔽日，雪叠叠兮薄树。车萧条兮山逼，舟容与兮水路。悯晨夜之摧挫，感春秋之欲暮。征夫辍而在位，御者局而载顾。"
"山中楚辞六首 其六","南北朝","江淹","魂兮归来。异方不可以亲。蝮蛇九首。雄虺戴鳞。炎穴一光。骨烂魂伤。玄狐曳尾。赤象为梁。至日归来。无往此异方。"
"山中楚辞六首 其四","南北朝","江淹","桂之生兮山之峦。纷可爱兮柯团团。溪崎嶬兮石架阻。䬀䬟飕兮木道寒。烟色闭兮乔木桡。岚气暗兮幽篁难。忌蟪蛄之蚤吟。惜王孙之晚还。信于邑兮白露。方夭病兮秋兰。"
"山中楚辞六首 其二","南北朝","江淹","予将礼于太一，乃雄剑兮玉钩。日华粲于芳阁，月金披于翠楼。舞燕赵之上色，激河淇之名讴。荐西海之异品，倾东岳之庶羞。乘鱼文兮锦质，要灵人兮中州。"
"从建平王游纪南城诗","南北朝","江淹","恭承此嘉惠，末官至南荆。敛衽依光采，端笏奉仁明。再逢绿草合，重见翠云生。江甸知礼富，汉渚闻教清。君王澹以思，树羽望楚城。年积衣剑灭，地远宫馆平。锦帐终寂寞，彩瑟秘音英。丹沙信难学，黄金不可成。迁化每如兹，安用贵空名。流岩惨中怀，凝意方自惊。愿借若木景，长照忧人情。"
"从征虏始安王道中诗","南北朝","江淹","乘笏从帷幕，仄身豫休明。君子未获晏，小人亦自营。结轩首凉野，驱马傃寒城。容裔还乡棹，逶迤去国旌。山气亘百里，山色与云平。乔松日夜竦，红霞旦夕生。徒惭恩厚概，空抱春施名。仰愿光威远，岁晏返柴荆。"
"从冠军建平王登庐山香炉峰诗","南北朝","江淹","广成爱神鼎，淮南好丹经。此山具鸾鹤，往来尽仙灵。瑶草正翕赩，玉树信葱青。绛气下萦薄，白云上杳冥。中坐瞰蜿虹，俯伏视流星。不寻遐怪极，则知耳目惊。日落长沙渚，曾阴万里生。藉兰素多意，临风默含情。方学松柏隐，羞逐市井名。幸承光诵末，伏思托后旌。"
"从萧骠骑新亭","南北朝","江淹","鲵妖毁玉度，虹气岨王猷。上宰轸灵略，宏威肃广谋。绵崄冒戈堞，乘峤架烽楼。燕兵歌越水，代马思吴州。金笳夜一远，明月信悠悠。云色被江出，烟光带海浮。开襟夹苍宇，拓远局溟洲。折日承丹谷，总驾临青丘。仄待飙雾晏，方从畎壑游。"
"无锡县历山集诗","南北朝","江淹","愁生白露日，思起秋风年。窃悲杜蘅暮，揽涕吊空山。落叶下楚水，别鹤噪吴田。岚气阴不极，日色半亏天。酒至情萧瑟，凭樽还惘然。一闻清琴奏，歔泣方留连。况乃客子念，直置丝竹间。"
