"题目","朝代","作者","内容"
"帝京篇十首 其八","隋末唐初","李世民","欢乐难再逢，芳辰良可惜。玉酒泛云罍，兰殽陈绮席。千钟合尧禹，百兽谐金石。得志重寸阴，忘怀轻尺璧。"
"帝京篇十首 其九","隋末唐初","李世民","建章欢赏夕，二八尽妖妍。罗绮昭阳殿，芬芳玳瑁筵。佩移星正动，扇掩月初圆。无劳上悬圃，即此对神仙。"
"帝京篇十首 其十","隋末唐初","李世民","以兹游观极，悠然独长想。披卷览前踪，抚躬寻既往。望古茅茨约，瞻今兰殿广。人道恶高危，虚心戒盈荡。奉天竭诚敬，临民思惠养。纳善察忠谏，明科慎刑赏。六五诚难继，四三非易仰。广待淳化敷，方嗣云亭响。"
"春池柳","隋末唐初","李世民","年柳变池台，隋堤曲直回。逐浪丝阴去，迎风带影来。疏黄一鸟弄，半翠几眉开。萦雪临春岸，参差间早梅。"
"秋日二首 其一","隋末唐初","李世民","菊散金风起，荷疏玉露圆。将秋数行雁，离夏几林蝉。云凝愁半岭，霞碎缬高天。还似成都望，直见峨眉前。"
"秋日二首 其二","隋末唐初","李世民","爽气澄兰沼，秋风动桂林。露凝千片玉，菊散一丛金。日岫高低影，云空点缀阴。蓬瀛不可望，泉石且娱心。"
"秋日翠微宫","隋末唐初","李世民","秋光凝翠岭，凉吹肃离宫。荷疏一盖缺，树冷半帷空。侧阵移鸿影，圆花钉菊丛。摅怀俗尘外，高眺白云中。"
"秋暮言志","隋末唐初","李世民","朝光浮烧野，霜华净碧空。结浪冰初镜，在径菊方丛。约岭烟深翠，分旗霞散红。抽思滋泉侧，飞想傅岩中。"
"首春","隋末唐初","李世民","寒随穷律变，春逐鸟声开。初风飘带柳，晚雪间花梅。碧林青旧竹，绿沼翠新苔。芝田初雁去，绮树巧莺来。"
"望终南山","隋末唐初","李世民","重峦俯渭水，碧嶂插遥天。出红扶岭日，入翠贮岩烟。叠松朝若夜，复岫阙疑全。对此恬千虑，无劳访九仙。"
"望雪","隋末唐初","李世民","冻云宵遍岭，素雪晓凝华。入牖千重碎，迎风一半斜。不妆空散粉，无树独飘花。萦空惭夕照，破彩谢晨霞。"
"赋帘","隋末唐初","李世民","参差垂玉阙，舒卷映兰宫。珠光摇素月，竹影乱清风。彩散银钩上，文斜桂户中。惟当杂罗绮，相与媚房栊。"
"赋得含峰云","隋末唐初","李世民","翠楼含晓雾，莲峰带晚云。玉叶依岩聚，金枝触石分。横天结阵影，逐吹起罗文。非复阳台下，空将惑楚君。"
"赋得李","隋末唐初","李世民","玉衡流桂圃，成蹊正可寻。莺啼密叶外，蝶戏脆花心。丽景光朝彩，轻霞散夕阴。暂顾晖章侧，还眺灵山林。"
"赋得花庭雾","隋末唐初","李世民","兰气已熏宫，新橤半妆丛。色含轻重雾，香引去来风。拂树浓舒碧，萦花薄蔽红。还当杂行雨，髣髴隐遥空。"
"赋得残菊","隋末唐初","李世民","阶兰凝曙霜，岸菊照晨光。露浓晞晚笑，风劲浅残香。细叶凋轻翠，圆花飞碎黄。还持今岁色，复结后年芳。"
"置酒坐飞阁","隋末唐初","李世民","高轩临碧渚，飞檐迥架空。馀花攒镂槛，残柳散雕栊。岸菊初含橤，园梨始带红。莫虑昆山暗，还共尽杯中。"
"元日","隋末唐初","李世民","高轩暧春色，邃阁媚朝光。彤庭飞綵旆，翠幌曜明珰。恭己临四极，垂衣驭八荒。霜戟列丹陛，丝竹韵长廊。穆矣熏风茂，康哉帝道昌。继文遵后轨，循古鉴前王。草秀故春色，梅艳昔年妆。巨川思欲济，终以寄舟航。"
"冬狩","隋末唐初","李世民","烈烈寒风起，惨惨飞云浮。霜浓凝广隰，冰厚结清流。金鞍移上苑，玉勒骋平畴。旌旗四望合，罝罗一面求。楚踣争兕殪，秦亡角鹿愁。兽忙投密树，鸿惊起砾洲。骑敛原尘静，戈回岭日收。心非洛汭逸，意在渭滨游。禽荒非所乐，抚辔更招忧。"
"出猎","隋末唐初","李世民","楚王云梦泽，汉帝长杨宫。岂若因农暇，阅武出轘嵩。三驱陈锐卒，七萃列材雄。寒野霜氛白，平原烧火红。雕戈夏服箭，羽骑绿沈弓。怖兽潜幽壑，惊禽散翠空。长烟晦落景，灌木振严风。所为除民瘼，非是悦林丛。"
"初春登楼即目观作述怀","隋末唐初","李世民","凭轩俯兰阁，眺瞩散灵襟。绮峰含翠雾，照日蕊红林。镂丹霞锦岫，残素雪斑岑。拂浪堤垂柳，娇花鸟续吟。连甍岂一拱，众干如千寻。明非独材力，终藉栋梁深。弥怀矜乐志，更惧戒盈心。愧制劳居逸，方规十产金。"
"初夏","隋末唐初","李世民","一朝春夏改，隔夜鸟花迁。阴阳深浅叶，晓夕重轻烟。哢莺犹响殿，横丝正网天。佩高兰影接，绶细草纹连。碧鳞惊棹侧，玄燕舞檐前。何必汾阳处，始复有山泉。"
"还陕述怀","隋末唐初","李世民","慨然抚长剑，济世岂邀名。星旂纷电举，日羽肃天行。遍野屯万骑，临原驻五营。登山麾武节，背水纵神兵。在昔戎戈动，今来宇宙平。"
"采芙蓉","隋末唐初","李世民","结伴戏方塘，携手上雕航。船移分细浪，风散动浮香。游莺无定曲，惊凫有乱行。莲稀钏声断，水广棹歌长。栖乌还密树，泛流归建章。"
"春日玄武门宴群臣","隋末唐初","李世民","韶光开令序，淑气动芳年。驻辇华林侧，高宴柏梁前。紫庭文佩满，丹墀衮绂连。九夷簉瑶席，五狄列琼筵。娱宾歌湛露，广乐奏钧天。清尊浮绿醑，雅曲韵朱弦。粤余君万国，还惭抚八埏。庶几保贞固，虚己厉求贤。"
"春日望海","隋末唐初","李世民","披襟眺沧海，凭轼玩春芳。积流横地纪，疏派引天潢。仙气凝三岭，和风扇八荒。拂潮云布色，穿浪日舒光。照岸花分彩，迷云雁断行。怀卑运深广，持满守灵长。有形非易测，无源讵可量。洪涛经变野，翠岛屡成桑。之罘思汉帝，碣石想秦皇。霓裳非本意，端拱且图王。"
"春日登陕州城楼俯眺原野回丹碧缀烟霞密翠斑红芳菲花柳即目川岫聊以命篇","隋末唐初","李世民","碧原开雾隰，绮岭峻霞城。烟峰高下翠，日浪浅深明。斑红妆橤树，圆青压溜荆。迹岩劳傅想，窥野访莘情。巨川何以济，舟楫伫时英。"
"秋日即目","隋末唐初","李世民","爽气浮丹阙，秋光澹紫宫。衣碎荷疏影，花明菊点丛。袍轻低草露，盖侧舞松风。散岫飘云叶，迷路飞烟鸿。砌冷兰凋佩，闺寒树陨桐。别鹤栖琴里，离猿啼峡中。落野飞星箭，弦虚半月弓。芳菲夕雾起，暮色满房栊。"
"秋日敩庾信体","隋末唐初","李世民","岭衔宵月桂，珠穿晓露丛。蝉啼觉树冷，萤火不温风。花生圆菊橤，荷尽戏鱼通。晨浦鸣飞雁，夕渚集栖鸿。飒飒高天吹，氛澄下炽空。"
"重幸武功","隋末唐初","李世民","代马依朔吹，惊禽愁昔丛。况兹承眷德，怀旧感深衷。积善忻馀庆，畅武悦成功。垂衣天下治，端拱车书同。白水巡前迹，丹陵幸旧宫。列筵欢故老，高宴聚新丰。驻跸抚田畯，回舆访牧童。瑞气萦丹阙，祥烟散碧空。孤屿含霜白，遥山带日红。于焉欢击筑，聊以咏南风。"
"宴中山","隋末唐初","李世民","驱马出辽阳，万里转旂常。对敌六奇举，临戎八阵张。斩鲸澄碧海，卷雾扫扶桑。昔去兰萦翠，今来桂染芳。云芝浮碎叶，冰镜上朝光。回首长安道，方欢宴柏梁。"
"谒并州大兴国寺诗","隋末唐初","李世民","回銮游福地，极目玩芳晨。梵钟交二响，法日转双轮。宝刹遥承露，天花近足春。未佩兰犹小，无丝柳尚新。圆光低月殿，碎影乱风筠。对此留馀想，超然离俗尘。"
"琵琶","隋末唐初","李世民","半月无双影，全花有四时。摧藏千里态，掩抑几重悲。促节萦红袖，清音满翠帷。驶弹风响急，缓曲钏声迟。空馀关陇恨，因此代相思。"
"登三台言志","隋末唐初","李世民","未央初壮汉，阿房昔侈秦。在危犹骋丽，居奢遂役人。岂如家四海，日宇罄朝伦。扇天裁户旧，砌地剪基新。引月擎宵桂，飘云逼曙鳞。露除光炫玉，霜阙映雕银。舞接花梁燕，歌迎鸟路尘。镜池波太液，庄苑丽宜春。作异甘泉日，停非路寝辰。念劳惭逸己，居旷返劳神。所欣成大厦，宏材伫渭滨。"
"赋秋日悬清光赐房玄龄","隋末唐初","李世民","秋露凝高掌，朝光上翠微。参差丽双阙，照耀满重闱。仙驭随轮转，灵乌带影飞。临波无定彩，入隙有圆晖。还当葵藿志，倾叶自相依。"
"赋得夏首启节","隋末唐初","李世民","北阙三春晚，南荣九夏初。黄莺弄渐变，翠林花落馀。瀑流还响谷，猿啼自应虚。早荷向心卷，长杨就影舒。此时欢不极，调轸坐相于。"
"入潼关","隋末唐初","李世民","崤函称地险，襟带壮两京。霜峰直临道，冰河曲绕城。古木参差影，寒猿断续声。冠盖往来合，风尘朝夕惊。高谈先马度，伪晓预鸡鸣。弃繻怀远志，封泥负壮情。别有真人气，安知名不名。"
"于北平作","隋末唐初","李世民","翠野驻戎轩，卢龙转征旆。遥山丽如绮，长流萦似带。海气百重楼，岩松千丈盖。兹焉可游赏，何必襄城外。"
"山阁晚秋","隋末唐初","李世民","山亭秋色满，岩牖凉风度。疏兰尚染烟，残菊犹承露。古石衣新苔，新巢封古树。历览情无极，咫尺轮光暮。"
"冬宵各为四韵","隋末唐初","李世民","雕宫静龙漏，绮阁宴公侯。珠帘烛燄动，绣柱月光浮。云起将歌发，风停与管遒。琐除任多士，端扆竟何忧。"
"正日临朝","隋末唐初","李世民","条风开献节，灰律动初阳。百蛮奉遐赆，万国朝未央。虽无舜禹迹，幸欣天地康。车轨同八表，书文混四方。赫奕俨冠盖，纷纶盛服章。羽旄飞驰道，钟鼓震岩廊。组练辉霞色，霜戟耀朝光。晨宵怀至理，终愧抚遐荒。"
"辽城望月","隋末唐初","李世民","玄兔月初明，澄辉照辽碣。映云光暂隐，隔树花如缀。魄满桂枝圆，轮亏镜彩缺。临城却影散，带晕重围结。驻跸俯九都，停观妖氛灭。"
"执契静三边","隋末唐初","李世民","执契静三边，持衡临万姓。玉彩辉关烛，金华流日镜。无为宇宙清，有美璇玑正。皎佩星连景，飘衣云结庆。戢武耀七德，升文辉九功。烟波澄旧碧，尘火息前红。霜野韬莲剑，关城罢月弓。钱缀榆天合，新城柳塞空。花销葱岭雪，縠尽流沙雾。秋驾转兢怀，春冰弥轸虑。书绝龙庭羽，烽休凤穴戍。衣宵寝二难，食旰餐三惧。剪暴兴先废，除凶存昔亡。圆盖归天壤，方舆入地荒。孔海池京邑，双河沼帝乡。循躬思励己，抚俗愧时康。元首伫盐梅，股肱惟辅弼。羽贤崆岭四，翼圣襄城七。浇俗庶反淳，替文聊就质。已知隆至道，共欢区宇一。"
"两仪殿赋柏梁体","隋末唐初","李世民","绝域降附天下平，八表无事悦圣情。云披雾敛天地明，登封日观禅云亭。太常具礼方告成。"
"初秋夜坐","隋末唐初","李世民","斜廊连绮阁，初月照宵帏。塞冷鸿飞疾，园秋蝉噪迟。露结林疏叶，寒轻菊吐滋。愁心逢此节，长叹独含悲。"
"初晴落景","隋末唐初","李世民","晚霞聊自怡，初晴弥可喜。日晃百花色，风动千林翠。池鱼跃不同，园鸟声还异。寄言博通者，知予物外志。"
"咏司马彪续汉志","隋末唐初","李世民","二仪初创象，三才乃分位。非惟树司牧，固亦垂文字。绵代更膺期，芳图无辍记。炎汉承君道，英谟纂神器。潜龙既可跃，逵兔奚难致。前史殚妙词，后昆沈雅思。书言扬盛迹，补阙兴洪志。川谷犹旧途，郡国开新意。梅山未觉朽，谷水谁云异。车服随名表，文物因时置。凤戟翼康衢，銮舆总柔辔。清浊必能澄，洪纤幸无弃。观仪不失序，遵礼方由事。政宣竹律和，时平玉条备。文囿雕奇彩，艺门蕴深致。云飞星共流，风扬月兼至。类禋遵令典，坛壝资良地。五胜竟无违，百司诚有庇。粤予承暇景，谈丛引泉秘。讨论穷义府，看覈披经笥。大辨良难仰，小学终先匮。闻道谅知荣，含毫孰忘愧。"
