"题目","朝代","作者","内容"
"幸武功庆善宫","隋末唐初","李世民","寿丘惟旧迹，酆邑乃前基。粤予承累圣，悬弧亦在兹。弱龄逢运改，提剑郁匡时。指麾八荒定，怀柔万国夷。梯山咸入款，驾海亦来思。单于陪武帐，日逐卫文㮰。端扆朝四岳，无为任百司。霜节明秋景，轻冰结水湄。芸黄遍原隰，禾颖积京畿。共乐还乡宴，欢比大风诗。"
"经破薛举战地","隋末唐初","李世民","昔年怀壮气，提戈初仗节。心随朗日高，志与秋霜洁。移锋惊电起，转战长河决。营碎落星沈，阵卷横云裂。一挥氛沴静，再举鲸鲵灭。于兹俯旧原，属目驻华轩。沈沙无故迹，减灶有残痕。浪霞穿水净，峰雾抱莲昏。世途亟流易，人事殊今昔。长想眺前踪，抚躬聊自适。"
"度秋","隋末唐初","李世民","夏律昨留灰，秋箭今移晷。峨嵋岫初出，洞庭波渐起。桂白发幽岩，菊黄开灞涘。运流方可叹，含毫属微理。"
"相和歌辞 饮马长城窟行","隋末唐初","李世民","塞外悲风切，交河冰已结。瀚海百重波，阴山千里雪。迥戍危烽火，层峦引高节。悠悠卷旆旌，饮马出长城。寒沙连骑迹，朔吹断边声。胡尘清玉塞，羌笛韵金钲。绝寞干戈戢，车徒振原隰。都尉反龙堆，将军旋马邑。扬麾氛雾静，纪石功名立。荒裔一戎衣，云台凯歌入。"
"望送魏徵葬","隋末唐初","李世民","阊阖总金鞍，上林移玉辇。野郊怆新别，河桥非旧饯。惨日映峰沈，愁云随盖转。哀笳时断续，悲旌乍舒卷。望望情何极，浪浪泪空泫。无复昔时人，芳春共谁遣。"
"喜雪","隋末唐初","李世民","碧昏朝合雾，丹卷暝韬霞。结叶繁云色，凝璚遍雪华。光楼皎若粉，映幕集疑沙。泛柳飞飞絮，妆梅片片花。照璧台圆月，飘珠箔穿露。瑶洁短长阶，玉丛高下树。映桐圭累白，萦峰莲抱素。断续气将沈，徘徊岁云暮。怀珍愧隐德，表瑞伫丰年。橤间飞禁苑，鹤处舞伊川。傥咏幽兰曲，同欢黄竹篇。"
"赋尚书","隋末唐初","李世民","崇文时驻步，东观还停辇。辍膳玩三坟，晖灯披五典。寒心睹肉林，飞魄看沈湎。纵情昏主多，克己明君鲜。灭身资累恶，成名由积善。既承百王末，战兢随岁转。"
"赋得白日半西山","隋末唐初","李世民","红轮不暂驻，乌飞岂复停。岑霞渐渐落，溪阴寸寸生。藿叶随光转，葵心逐照倾。晚烟含树色，栖鸟杂流声。"
"赋得早雁出云鸣","隋末唐初","李世民","初秋玉露清，早雁出空鸣。隔云时乱影，因风乍含声。"
"赋得浮桥","隋末唐初","李世民","岸曲非千里，桥斜异七星。暂低逢辇度，还高值浪惊。水摇文鹢动，缆转锦花萦。远近随轮影，轻重应人行。"
"赋得樱桃","隋末唐初","李世民","华林满芳景，洛阳遍阳春。朱颜含远日，翠色影长津。乔柯啭娇鸟，低枝映美人。昔作园中实，今来席上珍。"
"赐魏徵诗","隋末唐初","李世民","醽醁胜兰生，翠涛过玉䪥。千日醉不醒，十年味不败。"
"句","隋末唐初","李世民","雪耻酬百王，除凶报千古。昔乘匹马去，今驱万乘来。近日毛虽暖，闻弦心已惊。"
"与英才言聚赋得升天行","隋末唐初","慧净","驭风过阆苑，控鹤下瀛洲。欲采三芝秀，先从千仞游。驾凤吟虚管，乘槎泛浅流。颓龄一已驻，方验大椿秋。"
"冬日普光寺卧疾值雪简诸旧游","隋末唐初","慧净","卧疴苦留滞，辟户望遥天。寒云舒复卷，落雪断还连。凝华照书阁，飞素涴琴弦。回飘洛神赋，皎映齐纨篇。萦阶如鹤舞，拂树似花鲜。徒赏丰年瑞，沈忧终自怜。"
"和卢赞府游纪国道场","隋末唐初","慧净","日光通汉室，星彩晦周朝。法城从此构，香阁本岧峣。株盘仰承露，刹凤俯摩霄。落照侵虚牖，长虹拖跨桥。高才暂骋目，云藻随飘飖。欲追千里骥，终是谢连镳。"
"和琳法师初春法集之作","隋末唐初","慧净","鹫岭光前选，祇园表昔恭。哲人崇踵武，弘道会群龙。高座登莲叶，麈尾振霜松。尘飞扬雅梵，风度引疏钟。静言澄义海，发论上词锋。心虚道易合，迹广席难重。和风动淑气，丽日启时雍。高才掞雅什，顾己滥朋从。因兹仰积善，灵华庶可逢。"
"入朝洛堤步行","隋末唐初","上官仪","脉脉广川流，驱马历长洲。鹊飞山月曙，蝉噪野风秋。"
"从驾闾山咏马","隋末唐初","上官仪","桂香尘处减，练影月前空。定惑由关吏，徒嗟塞上翁。"
"王昭君","隋末唐初","上官仪","玉关春色晚，金河路几千。琴悲桂条上，笛怨柳花前。雾掩临妆月，风惊入鬓蝉。缄书待还使，泪尽白云天。"
"江王太妃挽歌","隋末唐初","上官仪","黄鹤悲歌绝，椒花清颂馀。埃凝写邻镜，网结和扉鱼。银消风烛尽，珠灭夜轮虚。别有南陵路，幽丛临叶疏。"
"咏画障","隋末唐初","上官仪","芳晨丽日桃花浦，珠帘翠帐凤凰楼。蔡女菱歌移锦缆，燕姬春望上琼钩。新妆漏影浮轻扇，冶袖飘香入浅流。未减行雨荆台下，自比凌波洛浦游。"
"咏雪应诏","隋末唐初","上官仪","禁园凝朔气，瑞雪掩晨曦。花明栖凤阁，珠散影娥池。飘素迎歌上，翻光向舞移。幸因千里映，还绕万年枝。"
"奉和山夜临秋","隋末唐初","上官仪","殿帐清炎气，辇道含秋阴。凄风移汉筑，流水入虞琴。云飞送断雁，月上净疏林。滴沥露枝响，空蒙烟壑深。"
"故北平公挽歌","隋末唐初","上官仪","木落园林旷，庭虚风露寒。北里清音绝，南陔芳草残。远气犹标剑，浮云尚写冠。寂寂琴台晚，秋阴入井干。"
"高密长公主挽歌","隋末唐初","上官仪","湘渚韬灵迹，娥台静瑞音。凤逐清箫远，鸾随幽镜沈。霜处华芙落，风前银烛侵。寂寞平阳宅，月冷洞房深。"
"安德山池宴集","隋末唐初","上官仪","上路抵平津，后堂罗荐陈。缔交开狎赏，丽席展芳辰。密树风烟积，回塘荷芰新。雨霁虹桥晚，花落凤台春。翠钗低舞席，文杏散歌尘。方惜流觞满，夕鸟已城闉。"
"奉和过旧宅应制","隋末唐初","上官仪","石关清晚夏，璇舆御早秋。神麾飏珠雨，仙吹响飞流。沛水祥云泛，宛郊瑞气浮。大风迎汉筑，丛烟入舜球。翠梧临凤邸，滋兰带鹤舟。偃伯歌玄化，扈跸颂王游。遗簪谬昭奖，珥笔荷恩休。"
"奉和秋日即目应制","隋末唐初","上官仪","上苑通平乐，神池迩建章。楼台相掩映，城阙互相望。缇油泛行幔，箫吹转浮梁。晚云含朔气，斜照荡秋光。落叶飘蝉影，平流写雁行。槿散凌风缛，荷销裛露香。仙歌临枍诣，玄豫历长杨。归路乘明月，千门开未央。"
"八咏应制二首 其一","隋末唐初","上官仪","启重帷，重帷照文杏。翡翠藻轻花，流苏媚浮影。瑶笙燕始归，金堂露初晞。风随少女至，虹共美人归。罗荐已擘鸳鸯被，绮衣复有蒲萄带。残红艳粉映帘中，戏蝶流莺聚窗外。洛滨春雪回，巫峡暮云来。雪花飘玉辇，云光上璧台。共待新妆出，清歌送落梅。"
"八咏应制二首 其二","隋末唐初","上官仪","入丛台，丛台裛春露。滴沥间深红，参差散轻素。妆蝶惊复聚，黄鹂飞且顾。攀折殊未已，复值惊飞起。送影舞衫前，飘香歌扇里。望望惜春晖，行行犹未归。暂得佳游趣，更愁花鸟稀。且学鸟声调凤管，方移花影入鸳机。"
"早春桂林殿应诏","隋末唐初","上官仪","步辇出披香，清歌临太液。晓树流莺满，春堤芳草积。风光翻露文，雪华上空碧。花蝶来未已，山光暧将夕。"
"和太尉戏赠高阳公","隋末唐初","上官仪","薰炉御史出神仙，云鞍羽盖下芝田。红尘正起浮桥路，青楼遥敞御沟前。倾城比态芳菲节，绝世相娇是六年。惯是洛滨要解佩，本是河间好数钱。翠钗照耀衔云发，玉步逶迤动罗袜。石榴绞带轻花转，桃枝绿扇微风发。无情拂袂欲留宾，讵恨深潭不可越。天津一别九秋长，岂若随闻三日香。南国自然胜掌上，东家复是忆王昌。"
"谢都督挽歌","隋末唐初","上官仪","漠漠佳城幽，苍苍松槚暮。鲁幕飘欲卷，宛驷悲还顾。楚挽绕卢山，胡笳临武库。怅然郊原静，烟生归鸟度。"
"酬薛舍人万年宫晚景寓直怀友","隋末唐初","上官仪","奕奕九成台，窈窕绝尘埃。苍苍万年树，玲珑下冥雾。池色摇晚空，岩花敛馀煦。清切丹禁静，浩荡文河注。留连穷胜托，夙期暌善谑。东望安仁省，西临子云阁。长啸披烟霞，高步寻兰若。金狄掩通门，雕鞍归骑喧。燕姝对明月，荆艳促芳尊。别有青山路，策杖访王孙。"
"句","隋末唐初","上官仪","曙色随行漏，早吹入繁笳。旗文萦桂叶，骑影拂桃华。碧潭写春照，青山笼雪花。池牑风月清，閒居游客情。兰泛樽中色，松今弦上声。"
"冬日宴群公于宅各赋一字得杯","隋末唐初","于志宁","陋巷朱轩拥，衡门缇骑来。俱裁七步咏，同倾三雅杯。色动迎春柳，花发犯寒梅。宾筵未半醉，骊歌不用催。"
"句","隋末唐初","马周","何惜邓林树，不借一枝栖。"
"侍宴咏石榴","隋末唐初","孔绍安","可惜庭中树，移根逐汉臣。只为来时晚，花开不及春。"
"咏夭桃","隋末唐初","孔绍安","结叶还临影，飞香欲遍空。不意馀花落，翻沈露井中。"
