"题目","朝代","作者","内容"
"江路闻松风","金","赵可","雪里云山玉作屏，松风入耳细泠泠。朝来醉著江亭酒，却被髯龙唤得醒。"
"郭熙秋山平远用东坡韵","金","刘迎","槐花忙过举子閒，旧游忆在夷门山。玉堂会见郭熙画，拂拭缣素尘埃间。楚天极目江天远，枫林渡头秋思晚。烟中一叶认扁舟，雨外数峰横翠巘。淮安客宦踰三霜，云梦泽连襄汉阳。平生独不见写本，惯饮山绿餐湖光。老来思归真日日，梦想林泉对华发。丹青安得此一流，画我横筇水中石。"
"秋怀","金","路忱","落日留虚壁，秋风急戍楼。高歌鬼神夜，挥涕虎狼秋。豪贵少青眼，文章多白头。何时挂长剑，天地一扁舟。"
"客怀","金","马定国","结发游荆楚，劳心惜寸阴。草长春径窄，花落晓烟深。谷旱惟祈雨，年饥不问金。三齐虽淡薄，留此亦何心。"
"送图南","金","马定国","壶觞送客柳亭东，回首三齐落照中。老去厌陪新客醉，兴来多与古人同。戍楼藤角垂新绿，山店柽花落细红。他日诗名满江海，荠堂相见两衰翁。"
"登历下亭有感","金","马定国","男子当为四海游，又携书剑客东州。烟横北渚芰荷晚，木落南山鸿雁秋。富国桑麻连鲁甸，用兵形势接营丘。伤哉不见桓公业，千古绕城空水流。"
"水龙吟 从商帅国器猎同裕之赋","金","王渥","短衣匹马清秋，惯曾射虎南山下。西风白水，石鲸鳞甲，山川图画。千古神州，一时胜事，宾僚儒雅。快长堤万弩，平冈千骑，波涛卷、鱼龙夜。落日孤城鼓角，笑归来、长围初罢。风云惨澹，貔貅得意，旌旗閒暇。万里天河，更须一洗，中原兵马。看鞬櫜呜咽，咸阳道左，拜西还驾。"
"到家","金","刘汲","三载尘劳虑，翻然尽一除。园林未摇落，庭菊正扶疏。绕屋看新树，开箱检旧书。依然故山色，潇洒入吾庐。"
"题西嵓 其二","金","刘汲","卜筑西嵓最可人，青山为屋水为邻。身将隐矣文何用，人不知之味更真。自古交游少同志，到头声利不关身。清泉便当如渑酒，浇尽胸中累劫尘。"
"平凉道中","金","刘汲","青山炯无尘，尘满行人衣。行人望青山，咫尺不得归。吾归不作难，世故苦相违。何当临溪水，一洗从前非。"
"题西嵓 其一","金","刘汲","人爱名与利，我爱水与山。人乐纷而竞，我乐静而閒。所以西嵓地，千古无人看。虽看亦不爱，虽赏亦不欢。欣然会予心，卜筑于其间。有石极峭屼，有泉极清寒。流觞与韨褉，终日堪盘桓。此乐为我设，信哉居之安。"
"鹧鸪天","金","刘著","雪照山城玉指寒。一声羌管怨楼间。江南几度梅花发，人在天涯鬓已斑。星点点，月团团。倒流河汉入杯盘。翰林风月三千首，寄与吴姬忍泪看。"
"过浑源留别田仲祥同知节使","金","朱自牧","金台前梦杳无踪，一阻云山莫计重。双鲤附书常不达，两萍浮海偶相逢。燕南落日车分辙，代北春风酒满钟。明日去留牵世务，灯前谈笑且从容。"
"晋宁感兴","金","朱自牧","莫将官况说葭芦，一味萧条称鄙夫。老圃不禁蔬代肉，樵丁还喜炕连厨。儿音半已渐秦晋，乡信无因接鲁洙。三见秋风落庭树，年年归意负莼鲈。"
"晚泊济阳","金","朱自牧","江北秋阴一半晴，晚凉留与客襟清。水边画角孤城莫，云底残阳远树明。旅雁为谁来有信，断蓬如我去无程。寥寥天地谁知已，村酒悠然只独倾。"
"朝中措","金","密璹","襄阳古道灞陵桥。诗兴与秋高。千古风流人物，一时多少雄豪。霜清玉塞，云飞陇首，风落江皋。梦到凤凰台上，山围故国周遭。"
"望海潮 从军舟中作","金","折元礼","地雄河岳，疆分韩晋，潼关高压秦头。山倚断霞，江吞绝壁，野烟萦带沧洲。虎旆拥貔貅。看阵云截岸，霜气横秋。千雉严城，五更残角月如钩。西风晓入貂裘。恨儒冠误我，却羡兜鍪。六郡少年，三关老将，贺兰烽火新收。天外岳连楼。想断云横晓，谁识归舟。剩着黄金换酒，羯鼓醉凉州。"
"通州道中","金","李晏","冉冉年华老，飘飘客路难。尘埃山色断，云雾日光寒。念远心先折，孤吟鼻亦酸。平生江海意，潦倒愧儒冠。"
"蝶恋花","金","金章宗","几股湘江龙骨瘦，巧样翻腾，叠作湘波皱。金缕小钿花草斗，翠条更结同心扣。金殿珠帘闲永昼，一握清风，暂喜怀中透。忽听传宣颁急奏，轻轻褪入香罗袖。"
"大江东去 用东坡先生韵","金","赵秉文","秋光一片，问苍苍桂影，其中何物。一叶扁舟波万顷，四顾粘天无壁。叩枻长歌，嫦娥欲下，万里挥冰雪。京尘千丈，可能容此人杰。回首赤壁矶边，骑鲸人去，几度山花发。澹澹长空今古梦，只有归鸿明灭。我欲从公，乘风归去，散此麒麟发。三山安在，玉箫吹断明月。"
"夜坐","金","蔡松年","吾生有几事无涯，清夜漫漫叹物华。但愿闻钲似疲马，可能粘壁作枯蜗。只今雪屋重衾湿，去岁梅溪醉帽斜。终得萧閒对床语，青灯挑尽短檠花。"
"庚申闰月从师还自颍上对新月独酌十三首 其五","金","蔡松年","我本山泽人，孤烟一轻蓑。功名无骨相，彫琢伤天和。未能遽免俗，尚尔同其波。梧桐唤归梦，无奈秋声何。"
"渡混同江","金","蔡松年","十年八唤清江渡，江水江花笑我劳。老境归心质孤月，倦游陈迹付惊涛。两都络绎波神肃，六合清明斗极高。湖海小臣尸厚禄，梦寻烟雨一渔舠。"
"庚申闰月从师还自颍上对新月独酌十三首 其四","金","蔡松年","人言归甚易，但苦食不足。必使极其求，万钟不盈腹。处世附所安，无祸即无福。却视高盖车，身宠神巳辱。"
"鹧鸪天 其二","金","蔡松年","秀樾横塘十里香。水花晚色静年芳。胭脂雪瘦薰沈水，翡翠盘高走夜光。山黛远，月波长。莫云秋影蘸潇湘。醉魂应逐凌波梦，分付西风此夜凉。"
"好事近 次蔡丞相韵首倡","金","元德明","梦破打门声，有客袖携团月。唤起玉川高兴，煮松檐晴雪。蓬莱千古一清风，人境两超绝。觉我胸中黄卷，被春云香彻。"
"梅花引 其一","金","王特起","山之麓。河之曲。一湾秀色盘虚谷。水溶溶。雨濛濛。有人行李，萧萧落叶中。人家篱落炊烟湿。天外云峰迷淡碧。野云昏。失前村。溪桥路滑，平沙没旧痕。"
"喜迁莺","金","王特起","登山临水。正桂岭瘴开，苹洲风起。玄鹤高翔，苍鹰远击，白鹭欲飞还止。江上层波似练，沙际行人如蚁。目断处，见遥峰簇翠，残霞浮绮。千里。关塞远，雁阵不来，犹把阑干倚。数叠悲笳，一行征旆，城郭几番成毁。白塔前朝陵寝，青嶂故都营垒。念往事，但寒烟满目，愁蝉盈耳。"
"喜迁莺 别内","金","王特起","东楼欢宴。记遗簪绮席，题诗纨扇。月枕双欹，云窗同梦，相伴小花深院。旧欢顿成陈迹，翻作一番新怨。素秋晚，听阳关三叠，一尊相饯。留恋。情缱绻。红泪洗妆，雨湿梨花面。雁底关河，马头星月，西去一程程远。但愿此心如旧，天也不违人愿。再相见，把生涯分付，药炉经卷。"
"喜迁莺 贺人生第三子","金","王特起","古今三绝。唯郑国三良，汉家三杰。三俊才名，三儒文学，更有三君清节。争似一门三秀，三子三孙奇崛。人总道，赛蜀郡三苏，河东三薛。欢惬。况正是，三月风光，好倾杯三百。子并三贤，孙齐三少，但笃三馀事业。文既三冬足用，名即三元高揭。亲朋庆，看宠加三锡，礼膺三接。"
"喜迁莺 题郝仙女庙壁","金","王特起","汀洲苹满。记翠笼采采，相将邻媛。苍渚烟生，金支光烂，人在雾绡鲛馆。小鬟顿成云散，罗袜凌波不见。翠鸾远，但清溪如镜，野花留靥。情眷。惊变现。身后神功，丝满吴蚕茧。汉女菱歌，湘妃瑶瑟，香动倚云层殿。彤车载花一色，醉尽碧桃清宴。故山晚，叹流年一笑，人间飞电。"
"望海潮 上兰州守","金","邓千江","云雷天堑，金汤地险，名藩自古皋兰。营屯绣错，山形米聚，喉襟百二秦关。鏖战血犹殷。见阵云冷落，时有雕盘。静塞楼头，晓月依旧玉弓弯。看看。定远西还。有元戎阃令，上将斋坛。区脱昼空，兜铃夕解，甘泉又报平安。吹笛虎牙閒。且宴陪珠履，歌按云鬟。招取英灵毅魄，长绕贺阑山。"
"佑德观试经","金","冯子翼","琳馆清深小雪残，酿梅天气不多寒。客窗竟日无人到，只有萧萧竹数竿。"
"小圃茅亭新成","金","冯子翼","榆柳清阴下，茅亭近水湄。抵檐栽美竹，横榻赋新诗。朴陋从人笑，栖迟止自怡。岁寒天地肃，松雪有心期。"
"书事","金","冯子翼","客舍如僧舍，秋风几席清。竹孙仍带箨，鸠妇已呼晴。年老心情减，官卑去就轻。京师名籍甚，郑子岂其卿。"
"江城子","金","冯子翼","胭脂坡上月如钩。问青楼。觅温柔。庭院深沉、窗户掩清秋。月下香云娇堕砌，花气重，酒光浮。清歌皓齿艳明眸。锦缠头。若为酬。门外三更、灯影立骅骝。结习未忘吾老矣，烦恼梦，赴东流。"
"玉楼春 宴河中瑞云亭","金","冯延登","长原迤逦孤麋卧。野色微茫河界破。草行绳屦绿云深，花触飞丸红雨妥。高亭初试煎茶火。醉玉渐哗春满座。行杯莫厌转筹频，佳节等閒飞鸟过。"
"村舍二首 其一","金","边元鼎","何事区区守一丘，春花过了月明秋。等閒浊酒篱边兴，寂莫寒花雨里愁。不识故人今在否，每思前事隔重游。西风又是青山晚，落叶无声水自流。"
"新居","金","边元鼎","镜里岩花落涧泉，对窗青壁便参天。几当雪月开春酒，时有松风入夜弦。远斸山田多种黍，稀经城市少言钱。平生漫忽王公贵，俯仰村邻更可怜。"
"暮钟","金","边元鼎","落日行人断，深秋暝雨残。一声烟树外，千里暮山寒。倦鸟方知止，哀猿冷不安。萧萧风叶下，时与野僧还。"
